ID,Age,Acceleration,Aggression,Agility,Balance,BallControl,Composure,Crossing,Dribbling,Finishing,Tackle,Overall
882,30,63,68,77,68,83,79,74,82,64,,78
884,30,69,86,66,77,80,74,75,80,77,,78
890,28,66,75,50,32,78,70,61,71,77,,78
891,31,83,85,72,48,62,65,68,69,82,,78
899,26,73,72,76,66,76,74,64,74,78,,78
902,24,91,40,91,85,80,77,73,83,65,,78
903,28,86,76,82,76,82,69,75,87,64,,78
910,31,77,58,75,68,75,78,68,74,78,,78
921,34,64,68,67,64,78,79,59,79,79,,78
922,26,79,80,79,73,74,76,65,75,82,,78
924,25,84,65,55,55,69,79,56,73,74,,77
925,28,90,51,83,70,75,77,72,79,80,,77
926,24,80,57,79,79,81,70,64,80,80,,77
929,27,67,47,79,60,75,79,55,65,82,,77
930,29,87,72,93,95,80,74,68,83,71,,77
932,26,82,75,86,76,77,77,71,76,77,,77
937,33,55,63,59,31,71,76,66,70,82,,77
939,28,76,59,76,66,83,72,64,86,75,,77
940,24,87,29,85,74,81,74,73,81,71,,77
947,28,67,60,65,59,74,73,33,66,83,,77
976,29,90,74,82,83,76,74,69,79,77,,77
983,31,64,33,74,71,84,80,78,85,65,,77
992,28,77,69,82,75,76,75,41,75,82,,77
995,31,76,80,83,71,78,70,66,77,74,,77
998,23,89,38,91,86,79,70,72,83,69,,77
1002,33,52,69,54,62,75,83,63,67,80,,77
1006,30,74,59,75,64,72,76,60,73,78,,77
1017,27,77,65,80,78,80,77,42,80,72,,77
1020,25,87,50,78,71,74,72,63,77,82,,77
1023,34,34,60,43,34,77,81,70,72,81,,77
1030,30,79,66,87,74,87,72,66,86,78,,77
1033,26,90,70,78,75,70,71,61,72,80,,77
1043,26,91,49,82,72,83,73,70,84,78,,77
1053,24,77,90,66,72,73,74,55,74,69,,77
1056,26,87,70,80,75,78,72,72,79,79,,77
1058,26,93,57,93,93,73,74,65,79,77,,77
1066,34,67,66,67,58,81,75,70,79,81,,77
1067,24,73,62,75,69,76,72,73,79,79,,77
1071,25,81,52,79,77,73,78,57,72,76,,77
1072,23,74,41,64,51,79,67,40,72,79,,77
1074,25,76,61,74,67,77,70,67,77,78,,77
1081,21,76,62,85,81,81,65,65,75,84,,77
1089,23,78,39,83,72,81,77,73,83,78,,77
1108,25,84,65,55,55,69,79,56,73,74,,77
1109,28,70,80,61,67,77,70,59,72,72,,77
1120,25,81,52,79,77,73,78,57,72,76,,77
1125,29,64,74,54,56,73,77,50,63,81,,77
1130,30,70,77,66,63,72,77,68,71,76,,77
1136,27,67,73,57,47,75,71,50,75,74,,77
1141,23,82,55,80,75,80,67,64,81,76,,77
1149,33,65,66,92,68,85,78,51,74,78,,77
1155,22,83,67,77,77,75,73,64,74,78,,77
1162,20,83,72,87,78,82,80,61,84,73,,77
1170,26,81,88,67,40,62,67,53,58,79,,77
1183,27,70,73,75,64,78,68,58,76,76,,77
1189,29,67,70,81,76,80,74,74,82,72,,77
1190,23,68,78,64,69,75,74,35,68,80,,77
1207,31,79,76,76,63,80,75,72,75,77,,77
1208,21,75,59,83,68,80,79,64,80,79,,77
1211,30,77,48,79,75,86,74,70,86,76,,77
1217,30,84,80,73,73,75,70,70,73,73,,76
1218,23,82,47,73,71,77,70,51,76,80,,76
1219,30,41,59,68,51,77,75,54,71,80,,76
1220,30,77,72,69,64,70,75,68,74,73,,76
1222,28,67,64,67,71,72,83,37,75,80,,76
1226,28,62,64,74,73,73,75,67,68,80,,76
1233,25,83,76,76,73,80,69,55,77,76,,76
1242,24,83,60,77,79,76,70,62,77,77,,76
1247,25,85,71,84,85,75,78,70,81,73,,76
1249,33,76,60,84,78,75,74,60,78,85,,76
1251,28,58,60,64,56,69,82,56,63,81,,76
1260,27,57,80,53,57,77,75,59,71,78,,76
1268,29,80,65,79,80,76,80,56,74,78,,76
1275,33,55,79,39,44,70,78,65,65,79,,76
1293,26,66,65,61,65,74,71,52,69,83,,76
1297,26,78,59,73,68,78,76,77,78,77,,76
1298,36,68,60,71,76,80,68,70,77,72,,76
1299,26,73,60,73,76,76,76,56,74,80,,76
1304,34,69,65,72,82,80,81,78,82,72,,76
1308,30,86,51,87,85,77,53,69,75,77,,76
1311,27,76,41,75,64,75,75,68,77,77,,76
1317,24,77,43,76,66,73,71,77,78,78,,76
1323,27,69,76,65,76,76,70,51,68,80,,76
1331,29,73,52,68,72,72,73,55,67,81,,76
1335,23,76,74,69,63,72,76,67,73,74,,76
1341,33,69,78,77,64,75,80,62,72,77,,76
1345,27,77,83,78,71,76,77,52,69,79,,76
1354,20,78,63,88,82,80,72,72,78,79,,76
1356,26,77,70,78,64,75,74,72,77,76,,76
1359,24,95,33,88,84,76,72,67,78,78,,76
1363,31,76,45,78,74,78,78,62,76,76,,76
1368,26,75,68,79,78,77,71,69,80,74,,76
1370,29,76,83,75,61,72,76,64,75,75,,76
1371,22,74,61,77,75,77,75,66,79,73,,76
1375,27,82,78,85,78,77,72,50,75,80,,76
1376,29,73,57,62,56,75,65,61,76,78,,76
1380,30,79,63,83,79,75,74,67,76,71,,76
1381,24,79,50,78,79,77,76,70,81,79,,76
1382,27,68,85,69,51,70,71,49,70,76,,76
1383,26,50,42,60,57,73,72,67,64,75,,76
1386,24,73,58,71,60,76,70,50,72,79,,76
1389,25,78,33,80,71,78,48,50,78,76,,76
1393,22,75,78,63,54,72,67,60,64,77,,76
1395,26,79,65,79,76,76,70,66,73,75,,76
1396,27,63,80,53,47,76,67,48,74,76,,76
1400,27,82,35,83,72,78,72,76,78,74,,76
1403,32,68,50,72,66,74,78,50,68,78,,76
1407,25,75,75,79,71,78,70,70,80,73,,76
1409,24,80,72,69,71,76,78,64,76,78,,76
1425,27,86,50,76,74,72,75,70,75,75,,76
1435,24,68,67,62,79,75,72,49,68,79,,76
1438,21,77,59,75,75,77,69,73,78,80,,76
1439,32,66,70,72,78,74,78,50,67,82,,76
1440,29,73,57,62,56,75,65,61,76,78,,76
1441,32,62,70,60,54,75,72,57,69,81,,76
1447,20,79,63,77,73,81,76,59,78,74,,76
1449,26,69,79,62,60,64,68,78,68,78,,76
1457,30,91,67,83,68,75,75,69,75,75,,76
1466,33,70,66,71,77,78,72,64,71,78,,76
1480,23,85,83,75,55,73,67,66,76,68,,76
1495,26,72,80,68,59,68,69,54,71,79,,76
1499,25,74,70,71,72,73,73,68,73,78,,76
1503,31,74,52,74,69,76,78,69,73,78,,76
1520,21,92,65,93,94,80,78,64,84,66,,76
1548,30,91,60,91,79,76,64,65,81,75,,76
1549,36,69,55,70,68,76,70,62,73,80,,76
1561,21,76,44,76,63,75,75,39,76,78,,76
1572,26,79,62,82,79,74,75,67,76,80,,76
1592,29,38,46,52,46,73,70,60,68,77,,75
1605,28,78,73,74,66,74,61,69,75,71,,75
1606,23,68,61,66,68,80,72,64,80,70,,75
1613,37,68,51,69,75,79,79,61,75,80,,75
1615,27,72,67,70,60,73,69,58,72,76,,75
1636,23,72,88,62,61,74,72,46,71,76,,75
1650,28,66,76,66,59,76,73,60,75,74,,75
1654,27,61,57,67,53,76,65,58,74,75,,75
1659,26,82,63,79,76,70,71,65,72,75,,75
1687,28,83,50,85,84,73,68,60,74,72,,75
1696,27,84,60,86,82,78,73,69,81,75,,75
1698,23,73,65,73,79,75,73,56,74,73,,75
1700,35,69,70,70,63,71,62,61,67,79,,75
1710,26,85,59,81,68,73,74,46,74,73,,75
1712,25,70,65,78,75,75,75,75,74,75,,75
1717,30,46,78,49,37,73,67,27,65,76,,75
1740,24,59,79,59,45,72,76,30,70,78,,75
1751,26,78,80,73,68,73,78,66,72,75,,75
1759,21,78,36,78,78,80,65,60,81,76,,75
1760,28,78,77,81,74,75,69,68,74,75,,75
1763,27,74,72,72,70,77,74,50,66,78,,75
1766,26,74,82,64,66,71,72,55,72,78,,75
1770,29,68,43,78,69,76,73,42,71,75,,75
1776,26,85,46,83,80,71,76,59,70,79,,75
1786,25,59,67,63,60,75,83,66,72,75,,75
1794,29,61,72,58,56,72,70,44,68,79,,75
1796,32,73,65,74,78,70,77,54,67,82,,75
1799,25,92,73,78,77,75,78,52,73,79,,75
1800,25,70,65,78,75,75,75,75,74,75,,75
1804,23,86,39,76,71,73,68,32,72,78,,75
1808,30,83,58,77,74,78,75,69,82,66,,75
1816,31,79,63,80,84,77,76,75,75,70,,75
1819,30,64,71,67,58,71,72,58,70,77,,75
1824,28,67,52,57,62,75,58,45,67,82,,75
1832,25,49,40,54,55,76,74,39,66,78,,75
1833,20,78,50,77,64,76,74,50,73,77,,75
1838,28,65,51,62,71,74,71,54,70,78,,75
1839,29,70,33,74,70,75,75,71,74,70,,75
1844,29,68,43,78,69,76,73,42,71,75,,75
1856,25,59,67,63,60,75,83,66,72,75,,75
1858,23,94,48,87,91,67,73,66,72,77,,75
1863,23,82,41,85,78,76,79,64,78,77,,75
1864,30,51,63,64,52,76,76,69,74,77,,75
1865,30,81,71,72,70,74,68,63,75,72,,75
1866,29,68,74,65,64,72,74,48,68,76,,75
1874,26,83,46,80,66,72,71,61,75,75,,75
1875,27,77,48,75,69,75,72,77,74,69,,75
1879,22,52,89,61,48,71,76,29,68,76,,75
1884,27,66,71,65,56,76,63,53,71,77,,75
1887,25,73,56,61,50,76,76,72,80,77,,75
1890,25,60,74,59,39,78,73,65,77,74,,75
1892,35,64,48,67,70,74,76,56,72,81,,75
1893,30,52,73,67,60,77,71,51,61,78,,75
1895,27,84,59,83,68,72,65,49,77,76,,75
1911,25,73,62,78,77,77,75,68,74,66,,75
1918,20,84,56,78,68,75,72,48,73,79,,75
1919,23,66,30,69,42,74,70,62,66,78,,75
1921,24,86,60,75,76,73,67,64,75,77,,75
1923,23,76,60,77,68,78,71,64,76,71,,75
1925,26,63,80,53,53,72,70,31,69,76,,75
1937,24,54,53,66,47,74,68,47,71,78,,75
1939,33,62,81,73,68,73,73,74,72,75,,75
1959,27,81,56,71,67,70,67,56,73,75,,75
1960,21,81,58,82,82,74,72,63,77,77,,75
1966,29,46,74,62,58,74,75,49,70,74,,75
1967,20,84,62,87,63,81,65,64,82,74,,75
1973,21,90,59,78,78,75,68,73,80,74,,75
2001,25,81,63,78,75,76,76,72,78,75,,75
2025,23,79,63,83,70,71,65,51,69,80,,75
2030,33,72,61,76,76,77,76,80,76,64,,75
2031,29,68,58,74,64,84,66,60,82,74,,75
2033,30,93,60,84,78,74,73,68,77,74,,75
2035,25,84,68,76,70,74,68,64,77,76,,75
2036,21,90,56,91,81,74,70,62,78,72,,75
2043,25,74,32,74,71,83,66,59,75,71,,74
2050,25,73,72,73,78,72,69,66,71,78,,74
2056,26,68,80,64,71,70,81,46,66,75,,74
2062,31,75,90,80,77,70,73,56,71,75,,74
2065,23,72,67,69,60,75,73,65,72,76,,74
2075,25,93,72,83,83,75,77,63,75,73,,74
2082,31,64,79,57,49,68,56,63,64,75,,74
2087,27,68,87,71,67,76,67,65,72,74,,74
2092,27,70,43,67,75,73,75,63,77,74,,74
2094,29,72,54,81,75,73,61,72,72,71,,74
2104,24,90,72,84,89,75,72,68,84,70,,74
2111,33,65,52,63,72,83,72,69,83,71,,74
2117,26,62,72,66,63,74,70,34,70,76,,74
2118,23,77,69,84,79,78,72,43,82,78,,74
2120,28,63,66,57,52,71,46,37,65,73,,74
2121,21,87,55,91,81,72,68,63,75,76,,74
2130,23,83,68,76,74,76,62,72,76,67,,74
2132,22,53,87,65,42,72,68,49,67,75,,74
2147,25,47,85,41,39,66,76,35,64,81,,74
2148,32,78,71,75,79,78,72,65,77,73,,74
2151,26,74,45,71,63,71,74,32,70,78,,74
2152,33,48,63,53,53,76,75,54,72,79,,74
2154,30,68,59,68,68,78,68,64,74,71,,74
2160,36,31,68,55,28,77,76,59,64,76,,74
2168,27,74,63,54,51,75,75,45,70,77,,74
2171,29,78,58,77,79,77,69,68,76,73,,74
2177,30,89,41,87,83,76,55,69,76,67,,74
2185,24,82,60,70,69,73,70,49,71,77,,74
2198,26,93,75,86,90,71,67,64,75,70,,74
2203,26,62,78,60,46,76,68,58,75,72,,74
2206,31,80,53,76,63,69,66,67,68,75,,74
2207,29,83,64,72,68,70,64,70,80,68,,74
2210,31,87,44,81,79,72,65,75,75,69,,74
2214,21,71,43,77,67,73,67,65,76,70,,74
2223,32,70,62,75,65,73,69,67,72,74,,74
2226,22,93,69,79,63,70,69,67,76,71,,74
2255,23,79,65,89,80,71,67,35,72,75,,74
2256,23,79,56,77,70,77,76,56,80,77,,74
2262,33,72,66,62,67,73,82,64,81,72,,74
2268,25,53,52,67,58,73,74,42,63,73,,74
2273,27,66,59,70,59,73,71,58,68,80,,74
2276,25,82,44,81,77,71,77,61,73,74,,74
2277,30,68,66,71,74,72,72,67,70,74,,74
2281,31,79,62,72,67,69,74,68,75,68,,74
2288,25,81,55,69,67,61,65,51,62,74,,74
2289,24,75,72,69,72,71,72,70,74,75,,74
2294,27,74,48,63,72,73,66,39,71,78,,74
2295,30,90,58,72,49,73,57,69,77,72,,74
2300,27,56,71,62,57,74,65,69,73,75,,74
2306,28,84,48,81,77,76,63,71,76,72,,74
2314,28,70,44,75,58,73,70,43,69,74,,74
2322,31,75,54,76,75,74,74,69,75,72,,74
2324,28,65,73,63,54,72,75,64,70,74,,74
2330,25,68,74,72,69,75,77,60,69,76,,74
2332,24,90,37,81,70,72,68,60,72,74,,74
2340,28,70,71,76,74,76,73,76,75,71,,74
2345,31,68,65,77,57,76,62,73,79,73,,74
2352,24,87,69,73,59,69,67,66,74,75,,74
2354,25,92,64,91,73,74,62,63,74,72,,74
2361,25,92,73,85,74,74,73,66,77,61,,74
2368,27,64,70,67,55,76,80,61,74,75,,74
2370,25,53,52,67,58,73,74,42,63,73,,74
2374,25,82,44,81,77,71,77,61,73,74,,74
2381,34,49,68,45,41,71,65,46,60,79,,74
2383,28,37,76,50,43,70,70,33,65,80,,74
2384,25,81,55,69,67,61,65,51,62,74,,74
2386,24,76,56,77,76,79,69,62,79,71,,74
2390,28,52,74,61,39,72,69,50,71,78,,74
2396,26,85,71,77,76,75,74,70,76,70,,74
2397,20,84,67,81,69,74,75,69,76,74,,74
2399,26,90,68,80,81,69,71,63,76,74,,74
2400,30,44,71,55,57,72,72,51,70,74,,74
2402,25,79,30,79,80,75,72,70,80,71,,74
2407,29,77,76,80,82,75,70,64,71,74,,74
2409,20,90,62,87,79,71,75,63,86,75,,74
2412,27,63,70,58,36,76,70,42,70,76,,74
2416,27,68,55,38,31,67,67,35,71,73,,74
2419,28,76,63,76,63,76,63,37,75,72,,74
2420,23,78,69,80,73,75,69,69,75,68,,74
2426,29,61,73,54,64,75,67,52,60,75,,74
2438,27,68,36,67,48,73,64,43,63,71,,74
2450,32,75,75,75,69,69,71,64,71,73,,74
2456,37,69,67,82,84,80,73,72,80,72,,74
2463,29,61,50,56,44,72,77,48,59,79,,74
2486,25,78,59,84,84,78,65,68,82,71,,74
2487,27,82,82,79,78,75,76,59,74,75,,74
2496,28,48,77,37,40,72,73,42,64,74,,74
2502,29,89,38,93,95,76,78,73,79,75,,74
2503,28,64,80,54,51,69,68,60,64,74,,74
2507,28,77,60,77,66,76,70,67,75,75,,74
2511,24,78,55,68,66,70,68,33,71,77,,74
2525,25,75,60,70,71,75,76,71,78,71,,74
2530,28,90,34,84,83,74,66,68,79,63,,74
2533,29,69,55,69,54,75,72,53,71,75,,74
2536,34,67,57,72,69,73,73,78,72,68,,74
2538,20,70,43,75,67,73,64,56,73,77,,74
2547,33,75,47,73,61,75,72,61,73,73,,74
2554,34,67,59,68,67,73,84,72,71,73,,74
2561,29,85,69,86,68,71,67,70,74,73,,74
2568,32,67,56,69,64,70,78,74,69,76,,74
2585,21,92,38,93,91,76,76,71,78,73,,74
2599,27,77,72,84,82,78,67,76,80,63,,74
2625,29,70,44,67,65,68,70,39,68,75,,73
2629,25,84,49,79,83,70,60,64,73,76,,73
2636,23,87,71,85,84,67,74,57,67,74,,73
2642,30,71,69,71,59,74,83,66,76,70,,73
2649,22,87,38,75,77,74,65,62,70,75,,73
2656,27,77,63,73,63,74,67,63,71,74,,73
2659,23,65,58,66,52,76,65,65,73,69,,73
2664,27,78,66,69,69,75,81,59,74,74,,73
2667,22,79,39,77,59,75,71,67,77,76,,73
2668,25,84,59,84,70,71,72,58,71,71,,73
2678,30,74,64,70,68,69,62,58,70,79,,73
2680,33,80,45,81,79,75,76,76,72,66,,73
2687,28,70,78,69,74,71,76,59,66,73,,73
2689,27,53,65,55,48,70,76,51,65,77,,73
2697,29,70,68,58,48,74,78,62,70,69,,73
2703,24,68,71,67,66,69,67,52,70,71,,73
2706,33,78,66,75,72,68,71,67,77,71,,73
2713,22,71,48,72,60,77,60,73,76,69,,73
2718,33,74,56,82,74,73,72,57,73,68,,73
2722,26,78,52,73,73,73,66,68,71,78,,73
2726,27,87,57,75,83,73,56,58,78,72,,73
2736,24,81,55,70,77,69,71,59,67,74,,73
2739,26,79,80,76,78,72,70,36,71,75,,73
2740,31,61,66,34,39,68,74,26,53,75,,73
2749,29,76,79,68,66,68,68,44,60,71,,73
2753,23,91,66,93,88,68,71,66,75,73,,73
2759,24,55,49,60,58,68,56,33,65,77,,73
2788,25,68,62,59,36,66,67,63,63,74,,73
2799,32,56,46,63,56,65,74,39,53,82,,73
2801,38,34,45,58,78,79,80,64,69,78,,73
2806,28,75,75,82,68,73,70,67,74,71,,73
2816,29,59,57,68,56,71,74,49,70,75,,73
2824,30,69,68,77,84,77,76,73,71,75,,73
2827,30,77,52,62,64,69,76,30,68,75,,73
2828,21,69,66,62,44,68,65,44,66,74,,73
2837,33,80,45,81,79,75,76,76,72,66,,73
2846,34,59,64,60,61,66,75,52,63,77,,73
2852,30,71,46,66,66,71,79,46,66,70,,73
2856,27,86,76,67,64,72,67,70,74,68,,73
2858,19,92,41,79,74,74,63,65,78,69,,73
2867,30,65,73,63,68,68,71,45,65,74,,73
2870,32,34,74,34,29,70,73,53,64,72,,73
2872,34,69,83,71,63,71,81,69,66,76,,73
2873,23,91,30,91,89,76,68,68,80,66,,73
2874,30,90,82,85,76,77,73,73,77,70,,73
2883,22,79,42,81,67,72,69,67,75,72,,73
2893,29,66,55,76,66,76,71,53,76,75,,73
2897,30,80,63,73,59,73,68,70,72,72,,73
2899,20,64,47,52,55,67,59,56,64,78,,73
2900,25,77,71,74,71,67,67,42,70,76,,73
2902,24,91,69,89,82,72,58,52,73,75,,73
2903,35,32,76,39,34,72,73,49,56,77,,73
2910,30,74,53,77,70,75,76,60,74,75,,73
2911,28,72,73,59,54,74,69,45,60,74,,73
2923,23,67,68,72,64,72,72,62,70,75,,73
2929,33,76,50,81,83,74,71,62,70,74,,73
2942,26,70,68,75,63,72,72,56,65,73,,73
2943,24,69,65,68,52,70,66,63,69,73,,73
2944,29,73,57,73,83,75,62,61,77,76,,73
2961,28,89,79,71,59,64,64,62,66,72,,73
2972,26,79,83,77,67,70,69,75,74,74,,73
2984,27,86,44,78,68,74,68,61,76,73,,73
2988,29,81,44,79,71,68,69,67,74,67,,73
2994,22,59,60,56,61,74,71,49,69,74,,73
2995,33,47,79,59,73,70,77,48,63,77,,73
2999,33,58,58,59,53,74,73,57,70,75,,73
3016,29,88,77,90,81,72,68,64,77,68,,73
3017,29,66,55,76,66,76,71,53,76,75,,73
3020,30,63,78,59,59,69,72,49,63,76,,73
3021,29,60,58,70,59,72,75,68,67,77,,73
3036,33,76,50,81,83,74,71,62,70,74,,73
3044,29,73,57,73,83,75,62,61,77,76,,73
3047,26,75,81,57,51,73,77,22,71,77,,73
3053,31,74,43,75,71,73,71,63,70,75,,73
3056,27,75,49,77,77,66,62,69,70,71,,73
3057,22,73,63,83,82,77,67,57,78,77,,73
3065,24,91,43,92,91,75,77,62,78,68,,73
3067,24,73,78,70,57,71,59,55,69,74,,73
3068,26,90,60,90,87,78,70,62,77,72,,73
3072,29,63,36,75,74,78,70,67,74,73,,73
3078,21,80,45,73,57,79,63,73,77,69,,73
3097,24,92,61,82,65,74,78,53,67,74,,73
3099,29,82,42,86,67,75,65,66,77,75,,73
3106,24,78,61,70,69,70,71,51,74,73,,73
3111,32,71,54,76,73,76,74,59,77,78,,73
3114,19,80,41,68,60,68,70,37,66,73,,73
3122,26,68,64,72,67,76,61,51,74,73,,73
3134,27,56,63,56,54,67,74,46,64,74,,73
3137,28,81,35,80,79,71,71,59,72,75,,73
